Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST100000,59,117603.41,192209.53,588,60,No
CUST100001,49,110648.97,145330.71,626,72,Yes
CUST100002,35,125469.51,133442.91,715,84,No
CUST100003,63,66023.87,128296.57,712,24,No
CUST100004,28,77390.61,146226.37,604,36,No
CUST100005,41,32083.94,123127.34,574,84,Yes
CUST100006,59,106923.36,189488.58,705,84,No
CUST100007,39,40805.51,126282.99,663,12,Yes
CUST100008,43,75419.39,245577.85,850,72,No
CUST100009,31,42567.44,237912.63,683,12,Yes
CUST100010,31,55278.33,96507.39,843,12,No
CUST100011,44,49068.44,154182.26,574,36,Yes
CUST100012,56,54803.12,110960.6,538,60,Yes
CUST100013,60,56521.93,130401.15,579,72,Yes
CUST100014,44,56293.28,270145.65,787,72,No
CUST100015,23,90833.35,131545.71,838,84,No
CUST100016,42,42378.43,171613.56,609,36,Yes
CUST100017,22,75513.54,182479.28,638,72,No
CUST100018,44,100448.98,89962.24,574,24,No
CUST100019,64,57170.09,98694.27,516,48,Yes
CUST100020,50,52052.03,77638.66,744,84,No
CUST100021,58,64236.88,96841.76,700,48,No
CUST100022,22,99493.13,5000.0,680,48,No
CUST100023,41,74852.69,182674.94,553,12,Yes
CUST100024,53,56719.64,273251.63,827,72,No
CUST100025,32,82096.92,158869.24,634,84,No
CUST100026,42,42442.7,65023.87,728,36,No
CUST100027,64,87033.99,111433.42,549,72,Yes
CUST100028,45,80215.18,122467.39,662,36,No
CUST100029,47,62304.79,88944.91,706,72,No
CUST100030,62,49035.36,201610.96,709,84,No
CUST100031,48,47832.98,198615.6,693,84,No
CUST100032,36,83370.43,80672.89,724,12,No
CUST100033,35,100724.51,193504.86,578,84,No
CUST100034,64,54067.31,241608.76,697,24,Yes
CUST100035,23,81459.67,264153.49,690,48,No
CUST100036,57,20000.0,321912.72,700,48,No
CUST100037,27,55384.56,95880.44,686,72,No
CUST100038,41,69223.53,319453.23,565,12,No
CUST100039,29,47257.91,128747.62,561,48,Yes
CUST100040,59,46587.34,114452.07,480,72,Yes
CUST100041,38,53305.51,169624.34,753,84,Yes
CUST100042,24,77304.82,115076.32,754,60,No
CUST100043,45,65316.77,173942.65,755,72,Yes
CUST100044,34,20000.0,70795.37,707,36,Yes
CUST100045,29,20000.0,135674.84,488,48,Yes
CUST100046,46,54828.37,227134.93,587,48,Yes
CUST100047,22,81442.16,146576.32,695,60,No
CUST100048,40,20000.0,158495.75,692,84,Yes
CUST100049,48,57506.75,178515.52,659,24,Yes
CUST100050,27,56843.8,220239.7,713,72,No
CUST100051,64,104708.44,50686.52,681,24,No
CUST100052,28,60374.45,185071.44,690,72,Yes
CUST100053,55,79574.72,133911.65,622,60,No
CUST100054,34,73531.43,159998.27,768,24,No
CUST100055,37,20000.0,213597.01,641,12,Yes
CUST100056,56,89205.18,78348.8,560,60,Yes
CUST100057,60,75384.91,89241.33,610,84,No
CUST100058,24,82706.72,33874.2,648,72,Yes
CUST100059,22,168155.94,117050.46,769,36,No
CUST100060,26,20000.0,229825.94,676,84,No
CUST100061,62,113117.42,142764.77,663,84,No
CUST100062,24,62813.81,69592.51,567,36,No
CUST100063,49,77183.22,120859.28,750,36,No
CUST100064,38,68862.19,60728.3,621,72,No
CUST100065,46,59394.09,82488.83,670,84,No
CUST100066,64,55754.18,173329.13,813,48,Yes
CUST100067,54,78237.72,79567.6,725,60,No
CUST100068,30,32070.66,216758.06,533,60,Yes
CUST100069,56,88764.48,145732.78,520,24,Yes
CUST100070,34,59595.14,155135.68,674,60,Yes
CUST100071,51,41748.27,133297.62,570,84,No
CUST100072,35,58749.68,196370.87,738,60,No
CUST100073,28,101428.73,196989.59,683,84,No
CUST100074,34,56616.62,170103.26,694,24,No
CUST100075,43,78961.34,183887.35,616,60,Yes
CUST100076,60,51726.09,137274.62,836,60,No
CUST100077,41,88948.05,182532.18,850,12,No
CUST100078,36,87137.69,129727.33,654,72,No
CUST100079,65,116215.22,150133.9,711,24,No
CUST100080,38,65610.9,133521.38,688,12,No
CUST100081,44,86716.37,122566.89,656,48,No
CUST100082,46,72451.69,108653.29,605,24,No
CUST100083,45,102396.79,178061.41,582,84,No
CUST100084,65,52029.19,228636.35,577,72,Yes
CUST100085,61,88625.13,220266.12,716,60,Yes
CUST100086,49,65132.57,74606.08,633,84,No
CUST100087,35,68395.3,227352.18,447,60,Yes
CUST100088,65,72293.81,130910.49,720,12,No
CUST100089,21,76306.01,186043.98,676,12,Yes
CUST100090,45,67094.27,95627.08,801,48,No
CUST100091,27,75367.83,158518.79,713,48,No
CUST100092,29,109452.95,168823.39,546,72,No
CUST100093,44,94636.24,60923.71,479,60,Yes
CUST100094,21,91728.86,186496.03,615,84,Yes
CUST100095,64,58611.51,230756.1,623,36,Yes
CUST100096,28,47768.98,139521.12,764,84,No
CUST100097,44,93882.51,231610.09,679,48,No
CUST100098,31,91901.17,138618.39,782,60,No
CUST100099,37,106816.77,200975.07,560,84,No
CUST100100,28,54900.48,16885.8,766,84,No
CUST100101,55,64261.28,295126.67,744,48,No
CUST100102,55,29012.9,239727.49,498,84,Yes
CUST100103,53,60188.22,132922.47,799,84,No
CUST100104,25,94914.26,31674.66,688,24,No
CUST100105,62,58337.62,167281.7,715,12,No
CUST100106,59,86011.99,63364.47,602,60,Yes
CUST100107,61,65237.42,176691.21,794,84,No
CUST100108,48,78101.43,174693.94,573,48,Yes
CUST100109,27,41307.72,93515.81,754,12,No
CUST100110,29,72130.24,217258.02,753,84,No
CUST100111,28,20000.0,198334.48,592,84,Yes
CUST100112,32,65327.6,208549.4,850,36,No
CUST100113,54,29238.17,150531.46,700,48,Yes
CUST100114,53,100149.86,65068.56,738,60,No
CUST100115,43,89435.18,208672.34,542,24,No
CUST100116,44,81666.77,133777.72,850,12,No
CUST100117,57,108025.16,66613.19,569,12,No
CUST100118,55,46277.09,231122.36,772,24,No
CUST100119,64,113684.08,275964.45,590,60,Yes
CUST100120,60,93304.79,147525.11,624,72,No
CUST100121,42,64086.12,279547.27,750,36,No
CUST100122,47,98390.5,155478.88,772,72,No
CUST100123,55,42342.66,127172.65,565,84,Yes
CUST100124,21,49387.15,112172.49,778,24,Yes
CUST100125,55,54785.26,248224.94,774,36,No
CUST100126,57,56775.56,103191.37,595,60,Yes
CUST100127,34,43586.06,194116.16,823,48,No
CUST100128,23,100577.08,116450.17,548,48,No
CUST100129,21,63528.64,122381.59,623,72,No
CUST100130,25,78812.62,211814.98,723,60,No
CUST100131,46,55741.22,127197.79,603,36,Yes
CUST100132,34,24484.92,125712.28,703,72,No
CUST100133,59,76751.43,217968.28,701,24,No
CUST100134,47,22193.63,245843.84,663,72,Yes
CUST100135,29,68284.15,188681.39,754,60,No
CUST100136,35,35792.12,110713.81,659,84,Yes
CUST100137,35,119681.9,119363.49,700,60,No
CUST100138,46,92784.07,154794.92,783,48,No
CUST100139,62,72643.84,169255.8,751,24,Yes
CUST100140,33,101592.67,90728.05,750,48,No
CUST100141,52,48842.1,193382.28,576,36,Yes
CUST100142,59,83586.98,155130.8,727,36,No
CUST100143,52,74995.26,47057.5,600,12,No
CUST100144,24,76600.5,94264.41,564,60,Yes
CUST100145,50,101808.84,119752.28,673,24,No
CUST100146,57,88312.3,145628.54,598,24,No
CUST100147,43,77218.09,263356.73,751,48,No
CUST100148,59,28627.81,164290.28,753,72,Yes
CUST100149,65,45998.84,99553.69,508,72,Yes
CUST100150,35,66932.28,163237.85,605,48,No
CUST100151,63,72334.31,128874.74,548,84,No
CUST100152,49,41744.91,169485.49,638,72,Yes
CUST100153,56,130291.92,184834.06,720,24,No
CUST100154,33,107909.85,222553.84,658,48,Yes
CUST100155,52,85052.96,148542.81,626,72,No
CUST100156,27,71800.92,248337.63,797,12,No
CUST100157,42,64694.78,204481.36,472,60,Yes
CUST100158,48,46202.04,107553.63,791,12,Yes
CUST100159,22,71937.01,282591.34,631,72,Yes
CUST100160,62,76443.81,169619.67,672,36,Yes
CUST100161,65,38955.99,99892.53,632,24,Yes
CUST100162,26,78354.41,249174.78,818,12,Yes
CUST100163,48,66118.52,274666.66,569,12,No
CUST100164,48,22304.81,148018.48,681,48,No
CUST100165,64,48490.37,119780.98,727,48,Yes
CUST100166,64,59659.86,139657.5,535,48,Yes
CUST100167,40,117192.19,192883.9,597,72,No
CUST100168,50,83913.83,226671.4,666,84,Yes
CUST100169,31,36612.96,184229.24,600,84,Yes
CUST100170,48,82150.91,156103.39,606,36,No
CUST100171,45,31317.4,239880.71,648,12,Yes
CUST100172,59,97067.28,131229.81,738,60,No
CUST100173,53,58221.88,211855.16,649,48,No
CUST100174,21,67659.1,132716.23,777,36,No
CUST100175,47,103144.92,175861.38,590,72,Yes
CUST100176,33,37820.91,143186.25,567,36,Yes
CUST100177,61,35072.05,146648.87,850,48,Yes
CUST100178,23,55410.02,127356.81,620,24,Yes
CUST100179,59,95959.47,230691.24,562,12,Yes
CUST100180,26,32016.35,106024.44,523,48,Yes
CUST100181,28,20000.0,105586.06,776,60,No
CUST100182,47,58721.03,277259.61,649,12,No
CUST100183,29,83793.52,208670.85,657,36,Yes
CUST100184,57,100006.54,6893.18,665,84,No
CUST100185,53,58420.97,116084.48,771,60,No
CUST100186,62,59714.33,41280.64,663,12,No
CUST100187,64,98847.52,92958.56,850,60,No
CUST100188,44,23256.46,5000.0,692,36,Yes
CUST100189,35,60286.98,141780.63,775,48,No
CUST100190,52,74760.6,81483.49,752,84,No
CUST100191,52,81230.47,153594.32,676,60,No
CUST100192,44,57254.83,52492.72,627,48,No
CUST100193,61,70861.03,154974.71,709,84,No
CUST100194,32,20000.0,125105.02,725,36,Yes
CUST100195,59,53543.79,240117.18,628,84,No
CUST100196,22,81337.72,234681.41,694,36,No
CUST100197,23,45442.65,197120.74,791,60,Yes
CUST100198,57,71474.61,130403.17,850,60,No
CUST100199,37,81171.81,269122.82,756,36,No
CUST100200,22,61436.27,56817.88,847,60,No
CUST100201,22,74261.59,65786.48,623,60,No
CUST100202,48,45931.69,144973.01,743,60,No
CUST100203,43,64834.72,285242.29,800,72,Yes
CUST100204,57,85255.4,137859.67,599,60,Yes
CUST100205,52,73924.32,139005.29,636,12,No
CUST100206,53,55336.72,63485.38,836,36,No
CUST100207,21,75605.41,206755.78,592,36,Yes
CUST100208,39,87865.24,207190.58,559,24,Yes
CUST100209,22,20000.0,197344.51,817,48,No
CUST100210,64,98976.85,112246.76,787,24,No
CUST100211,46,61593.63,107597.59,718,60,No
CUST100212,52,80637.25,72412.66,675,60,No
CUST100213,26,99931.17,155032.35,640,84,No
CUST100214,52,35708.16,85175.56,705,12,No
CUST100215,24,52263.97,79355.01,822,12,No
CUST100216,31,62786.28,124578.56,701,12,No
CUST100217,37,50406.16,120650.63,850,12,No
CUST100218,58,113373.41,117721.29,599,12,Yes
CUST100219,44,48580.7,177986.68,678,12,Yes
CUST100220,25,56111.33,154742.87,646,12,No
CUST100221,54,75109.73,132710.64,582,12,No
CUST100222,26,39946.26,160980.78,666,84,Yes
CUST100223,42,60107.98,90508.38,717,72,No
CUST100224,31,77936.33,156316.72,727,12,Yes
CUST100225,36,61678.49,159036.15,850,36,No
CUST100226,53,67665.33,59817.19,721,12,No
CUST100227,29,56766.7,209741.63,783,48,No
CUST100228,26,32138.24,97113.98,685,12,Yes
CUST100229,36,78039.83,155418.59,831,72,No
CUST100230,49,113873.33,219864.7,850,84,No
CUST100231,23,70460.04,205540.61,727,60,Yes
CUST100232,40,75631.6,152060.0,590,72,Yes
CUST100233,56,87318.07,128250.06,630,72,No
CUST100234,39,38266.74,206850.71,705,60,Yes
CUST100235,46,112562.87,190481.7,721,12,No
CUST100236,23,75058.22,112898.1,742,84,No
CUST100237,39,110796.42,102306.38,721,84,No
CUST100238,40,51674.18,25658.69,680,12,No
CUST100239,52,115451.55,159241.91,622,60,No
CUST100240,27,89378.89,145038.14,716,48,No
CUST100241,61,83826.0,218171.48,846,24,No
CUST100242,53,75850.61,171543.31,771,36,No
CUST100243,60,63786.78,230053.75,728,60,No
CUST100244,59,100013.29,108158.15,772,12,No
CUST100245,38,73509.0,218289.02,646,36,No
CUST100246,60,20823.26,118265.02,634,12,Yes
CUST100247,21,42070.34,196655.76,612,24,Yes
CUST100248,31,65353.86,62474.5,668,24,No
CUST100249,48,77749.97,164108.12,642,60,Yes
CUST100250,45,68585.29,30918.72,788,36,No
CUST100251,43,100474.27,133971.75,637,72,No
CUST100252,51,21222.45,176421.24,607,84,Yes
CUST100253,50,73589.7,118741.89,850,84,No
CUST100254,62,24550.52,86973.74,639,36,No
CUST100255,55,88992.81,200767.11,693,72,No
CUST100256,27,67638.53,143792.23,720,24,Yes
CUST100257,36,80490.25,120625.76,577,12,Yes
CUST100258,46,48402.93,152513.76,791,84,Yes
CUST100259,22,101986.62,308200.15,737,72,No
CUST100260,21,96043.12,219210.17,820,72,No
CUST100261,32,84588.61,219754.42,618,60,No
CUST100262,25,66762.07,176132.78,688,48,Yes
CUST100263,57,84496.43,159989.12,683,24,Yes
CUST100264,52,52327.69,6235.06,703,72,No
CUST100265,29,91388.89,109261.18,549,24,No
CUST100266,61,111237.02,121165.54,689,60,No
CUST100267,55,96765.26,37506.48,551,12,No
CUST100268,39,51759.94,80555.05,712,36,No
CUST100269,36,79035.43,31149.81,488,24,Yes
CUST100270,23,37671.46,147700.57,513,60,Yes
CUST100271,40,84309.76,199125.96,753,60,Yes
CUST100272,44,81265.09,216406.47,630,60,No
CUST100273,53,23254.59,174887.07,591,84,No
CUST100274,44,40955.4,92196.22,794,84,Yes
CUST100275,31,62921.53,34076.09,709,84,No
CUST100276,28,62478.51,44587.88,758,36,No
CUST100277,56,39763.08,73861.05,665,84,No
CUST100278,58,79724.47,96668.42,850,24,No
CUST100279,60,76286.84,140415.09,625,72,No
CUST100280,40,65143.27,89150.15,837,60,No
CUST100281,55,51105.21,170338.55,674,36,Yes
CUST100282,45,96217.68,136063.59,531,84,No
CUST100283,55,111385.18,150632.74,723,12,No
CUST100284,45,57910.96,218415.03,708,48,No
CUST100285,49,54695.83,79186.1,585,24,No
CUST100286,38,82280.19,175122.27,597,36,No
CUST100287,38,61049.27,149161.61,677,48,Yes
CUST100288,22,66515.07,129990.82,711,48,No
CUST100289,55,88491.33,203115.38,457,84,Yes
CUST100290,36,22266.1,202740.85,774,36,Yes
CUST100291,61,102957.56,93210.55,635,72,No
CUST100292,56,71817.01,139070.36,560,72,No
CUST100293,53,59712.67,166872.7,764,36,Yes
CUST100294,24,67769.15,133619.6,677,36,No
CUST100295,53,69060.73,185101.28,789,60,No
CUST100296,34,26719.97,166871.52,719,12,Yes
CUST100297,41,107373.46,259953.67,679,72,Yes
CUST100298,40,71033.14,58183.25,666,60,Yes
CUST100299,28,81075.05,142653.84,723,48,No
CUST100300,27,93788.74,95489.85,642,48,No
CUST100301,23,44470.94,186246.45,603,48,No
CUST100302,37,81836.8,52969.69,734,36,No
CUST100303,53,63308.97,170778.76,666,24,No
CUST100304,32,91169.27,112197.09,683,60,Yes
CUST100305,42,20000.0,105950.29,778,24,Yes
CUST100306,42,67522.64,63210.11,669,84,No
CUST100307,50,54929.48,122095.44,681,12,No
CUST100308,58,80806.57,215070.03,626,12,No
CUST100309,58,81751.1,148488.68,718,60,No
CUST100310,65,52309.35,187660.83,711,48,No
CUST100311,28,52195.65,249878.51,761,84,Yes
CUST100312,47,67233.37,165825.34,627,72,Yes
CUST100313,47,47583.94,116472.03,638,12,Yes
CUST100314,54,91049.59,178035.13,751,24,No
CUST100315,41,60769.82,117342.23,702,24,No
CUST100316,50,20000.0,119734.64,598,72,Yes
CUST100317,53,60629.45,58806.43,797,36,No
CUST100318,48,44036.4,205575.45,527,48,Yes
CUST100319,53,29218.1,126839.85,750,36,No
CUST100320,25,39064.33,160925.89,566,60,Yes
CUST100321,39,72735.21,87842.28,849,12,No
CUST100322,24,103216.02,176156.86,540,72,No
CUST100323,55,77829.61,104283.53,783,72,No
CUST100324,37,54837.42,141497.48,672,72,Yes
CUST100325,64,81397.6,202669.56,647,36,No
CUST100326,48,58522.74,197445.56,696,36,Yes
CUST100327,50,52634.99,148678.2,736,60,No
CUST100328,49,41140.93,43912.14,598,24,No
CUST100329,26,26204.28,329568.63,606,24,No
CUST100330,55,60251.91,254751.54,738,84,No
CUST100331,61,73951.34,193360.49,526,60,Yes
CUST100332,57,67584.41,104807.77,627,72,No
CUST100333,44,59600.83,143184.47,850,24,Yes
CUST100334,49,46356.35,117394.77,592,60,No
CUST100335,51,85206.15,225831.36,783,24,No
CUST100336,55,37071.7,165750.17,627,84,Yes
CUST100337,53,89400.7,102950.17,725,60,No
CUST100338,41,44944.57,121754.69,738,24,No
CUST100339,52,51189.12,217271.29,781,72,No
CUST100340,43,33330.37,246005.87,661,36,No
CUST100341,53,57464.95,241699.89,850,36,Yes
CUST100342,23,94382.81,195421.92,626,84,Yes
CUST100343,38,82890.7,134842.51,701,72,No
CUST100344,45,94460.55,5000.0,702,24,No
CUST100345,62,83053.56,167829.6,579,72,No
CUST100346,51,42408.25,149890.27,654,60,No
CUST100347,23,61730.27,158398.93,694,36,Yes
CUST100348,60,50495.02,153233.84,641,12,No
CUST100349,44,103264.37,70424.27,850,84,No
CUST100350,52,40080.28,183444.51,604,24,No
CUST100351,42,92342.44,187932.98,786,12,No
CUST100352,43,92323.85,190940.33,757,12,No
CUST100353,22,115740.51,206794.62,678,84,Yes
CUST100354,47,59757.84,186243.1,602,48,No
CUST100355,62,87808.05,125398.24,610,12,Yes
CUST100356,22,127041.3,145749.79,633,12,No
CUST100357,46,54558.96,155467.49,519,72,Yes
CUST100358,37,31623.99,156461.97,589,48,Yes
CUST100359,60,22999.75,209893.06,546,48,Yes
CUST100360,53,87817.8,188620.13,801,48,No
CUST100361,29,22921.24,274640.61,735,84,Yes
CUST100362,63,60692.02,282388.14,750,60,No
CUST100363,59,80932.83,154778.97,732,48,No
CUST100364,49,74629.39,5000.0,695,72,No
CUST100365,62,80636.12,224209.95,811,60,No
CUST100366,46,75557.25,117577.42,625,24,No
CUST100367,55,101971.65,101910.96,689,60,No
CUST100368,45,46192.09,126093.28,747,24,Yes
CUST100369,44,53075.12,123201.42,561,48,No
CUST100370,33,50683.51,186736.19,850,48,No
CUST100371,27,90754.8,56433.85,682,24,No
CUST100372,56,92509.96,85336.76,692,36,No
CUST100373,65,81280.63,170589.51,793,72,No
CUST100374,40,99587.34,187376.64,762,60,No
CUST100375,21,40548.98,188492.5,683,72,Yes
CUST100376,28,111680.6,102777.82,691,72,No
CUST100377,36,108080.97,91304.06,544,12,Yes
CUST100378,34,88390.55,119601.91,629,48,No
CUST100379,32,114544.97,164392.37,726,60,No
CUST100380,43,28584.42,239128.64,719,72,No
CUST100381,35,56888.8,27153.77,789,60,No
CUST100382,48,51617.41,136756.27,669,72,Yes
CUST100383,54,88036.98,70039.29,555,48,Yes
CUST100384,22,43746.48,50865.44,775,72,No
CUST100385,52,88937.38,208017.4,809,24,Yes
CUST100386,43,104263.4,182677.47,760,48,No
CUST100387,42,87380.07,176966.01,665,60,Yes
CUST100388,45,77093.78,205261.55,773,84,No
CUST100389,42,45303.17,121216.87,850,36,No
CUST100390,42,48828.73,124041.75,690,72,No
CUST100391,62,101240.47,281143.84,561,24,Yes
CUST100392,26,89483.73,135205.74,627,48,No
CUST100393,35,69024.51,194107.93,736,12,No
CUST100394,63,59552.26,150382.89,535,84,Yes
CUST100395,57,20000.0,39104.49,695,84,Yes
CUST100396,53,43228.69,27322.26,714,48,No
CUST100397,28,117785.48,115260.95,818,84,No
CUST100398,64,37988.61,213366.08,797,60,No
CUST100399,64,74737.0,197297.5,757,60,No
CUST100400,25,95186.1,204844.63,485,12,Yes
CUST100401,59,38626.93,90777.23,762,24,Yes
CUST100402,24,74617.76,246952.35,743,60,No
CUST100403,26,93447.89,92106.4,703,24,No
CUST100404,65,70312.48,162769.46,524,24,Yes
CUST100405,52,141710.08,149378.86,610,48,Yes
CUST100406,50,28285.02,139567.57,574,24,Yes
CUST100407,55,96468.21,230315.53,498,72,Yes
CUST100408,60,65679.96,107693.37,679,60,No
CUST100409,36,89298.0,69023.68,608,60,No
CUST100410,33,81032.68,151199.73,850,36,No
CUST100411,62,51671.1,126010.4,664,84,No
CUST100412,50,75724.91,352642.98,796,24,No
CUST100413,39,23552.46,190590.45,538,36,Yes
CUST100414,37,85081.19,125439.57,632,48,Yes
CUST100415,39,77453.96,86633.31,688,36,Yes
CUST100416,48,85966.5,37182.7,598,84,Yes
CUST100417,46,96452.96,88486.85,642,24,No
CUST100418,57,79190.5,156896.51,660,84,No
CUST100419,46,73702.24,235639.72,658,60,Yes
CUST100420,43,47973.29,217301.35,846,48,No
CUST100421,29,52194.48,163745.69,714,24,No
CUST100422,32,99668.37,130609.94,723,48,No
CUST100423,21,105908.39,166128.74,728,12,No
CUST100424,21,64047.24,118881.72,735,24,No
CUST100425,54,71150.07,253101.84,672,12,Yes
CUST100426,52,47384.64,138648.59,651,36,No
CUST100427,45,99318.92,144819.73,695,24,Yes
CUST100428,60,86635.42,17050.65,784,12,No
CUST100429,65,118530.44,138273.91,781,72,No
CUST100430,21,48041.92,200189.05,658,60,Yes
CUST100431,36,60549.8,85936.65,749,36,No
CUST100432,59,75786.15,104956.78,662,24,Yes
CUST100433,25,86162.24,197562.66,683,24,No
CUST100434,42,64608.31,61400.57,637,60,No
CUST100435,49,48175.97,213468.06,663,60,Yes
CUST100436,23,92035.19,118071.37,800,84,No
CUST100437,32,88028.38,126685.91,688,12,No
CUST100438,46,47093.15,82567.3,692,12,No
CUST100439,36,103886.07,172682.78,549,12,No
CUST100440,57,99254.97,297592.32,652,84,No
CUST100441,42,73357.41,196889.83,658,48,No
CUST100442,49,71989.95,98142.88,605,36,No
CUST100443,34,83851.44,218137.24,681,24,No
CUST100444,48,48457.42,130999.23,641,36,No
CUST100445,25,70750.79,232469.1,687,60,No
CUST100446,50,20000.0,198400.58,690,72,No
CUST100447,25,91911.39,5000.0,593,36,No
CUST100448,32,30962.67,89755.22,644,36,No
CUST100449,36,107585.5,206663.11,686,12,No
CUST100450,46,61747.0,159099.44,786,60,No
CUST100451,46,64708.33,88574.64,703,36,No
CUST100452,41,54306.65,111984.63,620,24,Yes
CUST100453,59,62799.03,35625.8,715,12,No
CUST100454,56,105463.28,144697.6,833,84,No
CUST100455,53,20000.0,282641.38,762,36,No
CUST100456,50,101924.13,198296.0,729,60,No
CUST100457,57,78450.59,281425.02,745,72,No
CUST100458,43,39824.46,202943.83,809,24,No
CUST100459,30,43117.19,211648.76,776,72,Yes
CUST100460,25,111909.83,268444.72,731,60,Yes
CUST100461,56,46362.33,172635.8,776,60,Yes
CUST100462,54,41166.24,138766.36,582,60,Yes
CUST100463,51,98432.86,211959.45,544,72,Yes
CUST100464,30,78463.82,237230.41,694,48,No
CUST100465,39,46551.86,121202.12,686,24,Yes
CUST100466,52,75415.62,106705.86,631,60,No
CUST100467,21,44356.18,158331.36,754,48,No
CUST100468,25,97520.53,199889.93,512,12,Yes
CUST100469,65,96534.27,197885.46,631,48,Yes
CUST100470,24,83300.15,64549.94,636,12,No
CUST100471,36,79041.53,264696.36,532,72,Yes
CUST100472,44,114029.7,111530.1,814,84,No
CUST100473,36,69992.16,134096.1,557,84,Yes
CUST100474,22,40453.15,95840.74,627,48,Yes
CUST100475,48,81236.85,311899.73,761,72,No
CUST100476,52,122151.18,164524.24,738,60,No
CUST100477,47,44631.01,98941.5,580,48,Yes
CUST100478,40,60963.43,201835.41,741,48,No
CUST100479,44,80411.15,196148.15,706,60,No
CUST100480,32,68652.38,138736.38,850,12,No
CUST100481,55,45442.41,200436.4,716,60,Yes
CUST100482,53,98046.45,100482.48,667,24,No
CUST100483,53,128001.02,120424.9,602,84,No
CUST100484,63,74903.29,29387.0,613,84,No
CUST100485,57,47398.29,70562.93,605,48,No
